date,team1,team2,venue,city,toss_winner,toss_decision,winner
2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Royal Challengers Bangalore,field,Rajasthan Royals
2008-05-17,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Kings XI Punjab
2008-05-18,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,field,Mumbai Indians
2008-05-18,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Chennai Super Kings
2008-05-19,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Delhi Daredevils,field,Delhi Daredevils
2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,field,Rajasthan Royals
2008-05-21,Kings XI Punjab,Mumbai Indians,Wankhede Stadium,Mumbai,Mumbai Indians,field,Kings XI Punjab
2008-05-21,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2008-05-23,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
2008-05-24,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Delhi Daredevils
2008-05-24,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Rajasthan Royals,bat,Rajasthan Royals
2008-05-25,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Royal Challengers Bangalore
2008-05-25,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kings XI Punjab,bat,Kolkata Knight Riders
2008-05-26,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
2008-05-27,Chennai Super Kings,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Deccan Chargers,bat,Chennai Super Kings
2008-05-28,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,Kings XI Punjab
2008-05-28,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians
2008-05-30,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Mumbai,Delhi Daredevils,field,Rajasthan Royals
2008-05-31,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Mumbai,Kings XI Punjab,bat,Chennai Super Kings
2008-06-01,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Rajasthan Royals,field,Rajasthan Royals
2009-04-18,Chennai Super Kings,Mumbai Indians,Newlands,Cape Town,Chennai Super Kings,field,Mumbai Indians
2009-04-18,Rajasthan Royals,Royal Challengers Bangalore,Newlands,Cape Town,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2009-04-19,Delhi Daredevils,Kings XI Punjab,Newlands,Cape Town,Delhi Daredevils,field,Delhi Daredevils
2009-04-19,Deccan Chargers,Kolkata Knight Riders,Newlands,Cape Town,Kolkata Knight Riders,bat,Deccan Chargers
2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,St George's Park,Port Elizabeth,Chennai Super Kings,bat,Chennai Super Kings
2009-04-21,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Durban,Kolkata Knight Riders,field,Kolkata Knight Riders
2009-04-22,Deccan Chargers,Royal Challengers Bangalore,Newlands,Cape Town,Deccan Chargers,bat,Deccan Chargers
2009-04-23,Chennai Super Kings,Delhi Daredevils,Kingsmead,Durban,Delhi Daredevils,bat,Delhi Daredevils
2009-04-24,Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,Durban,Royal Challengers Bangalore,bat,Kings XI Punjab
2009-04-25,Deccan Chargers,Mumbai Indians,Kingsmead,Durban,Deccan Chargers,bat,Deccan Chargers
2009-04-26,Delhi Daredevils,Royal Challengers Bangalore,St George's Park,Port Elizabeth,Royal Challengers Bangalore,bat,Delhi Daredevils
2009-04-26,Kings XI Punjab,Rajasthan Royals,Newlands,Cape Town,Kings XI Punjab,bat,Kings XI Punjab
2009-04-27,Chennai Super Kings,Deccan Chargers,Kingsmead,Durban,Deccan Chargers,field,Deccan Chargers
2009-04-27,Kolkata Knight Riders,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,bat,Mumbai Indians
2009-04-28,Delhi Daredevils,Rajasthan Royals,SuperSport Park,Centurion,Delhi Daredevils,bat,Rajasthan Royals
2009-04-29,Kings XI Punjab,Mumbai Indians,Kingsmead,Durban,Kings XI Punjab,bat,Kings XI Punjab
2009-04-29,Kolkata Knight Riders,Royal Challengers Bangalore,Kingsmead,Durban,Kolkata Knight Riders,bat,Royal Challengers Bangalore
2009-04-30,Chennai Super Kings,Rajasthan Royals,SuperSport Park,Centurion,Rajasthan Royals,field,Chennai Super Kings
2009-04-30,Deccan Chargers,Delhi Daredevils,SuperSport Park,Centurion,Delhi Daredevils,field,Delhi Daredevils
2009-05-01,Kings XI Punjab,Royal Challengers Bangalore,Kingsmead,Durban,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2009-05-01,Kolkata Knight Riders,Mumbai Indians,Buffalo Park,East London,Mumbai Indians,bat,Mumbai Indians
2009-05-02,Deccan Chargers,Rajasthan Royals,St George's Park,Port Elizabeth,Deccan Chargers,bat,Rajasthan Royals
2009-05-02,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,Johannesburg,Delhi Daredevils,field,Chennai Super Kings
2009-05-03,Mumbai Indians,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,Mumbai Indians,bat,Royal Challengers Bangalore
2009-05-03,Kings XI Punjab,Kolkata Knight Riders,St George's Park,Port Elizabeth,Kolkata Knight Riders,bat,Kings XI Punjab
2009-05-04,Chennai Super Kings,Deccan Chargers,Buffalo Park,East London,Chennai Super Kings,bat,Chennai Super Kings
2009-05-05,Kings XI Punjab,Rajasthan Royals,Kingsmead,Durban,Kings XI Punjab,field,Rajasthan Royals
2009-05-05,Delhi Daredevils,Kolkata Knight Riders,Kingsmead,Durban,Kolkata Knight Riders,bat,Delhi Daredevils
2009-05-06,Deccan Chargers,Mumbai Indians,SuperSport Park,Centurion,Deccan Chargers,bat,Deccan Chargers
2009-05-07,Rajasthan Royals,Royal Challengers Bangalore,SuperSport Park,Centurion,Rajasthan Royals,field,Rajasthan Royals
2009-05-07,Chennai Super Kings,Kings XI Punjab,SuperSport Park,Centurion,Chennai Super Kings,bat,Chennai Super Kings
2009-05-08,Delhi Daredevils,Mumbai Indians,Buffalo Park,East London,Mumbai Indians,bat,Delhi Daredevils
2009-05-09,Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval,Kimberley,Kings XI Punjab,field,Kings XI Punjab
2009-05-09,Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,Kimberley,Rajasthan Royals,bat,Chennai Super Kings
2009-05-10,Mumbai Indians,Royal Challengers Bangalore,St George's Park,Port Elizabeth,Mumbai Indians,bat,Mumbai Indians
2009-05-10,Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,Johannesburg,Delhi Daredevils,field,Delhi Daredevils
2009-05-11,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval,Kimberley,Deccan Chargers,bat,Deccan Chargers
2009-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,SuperSport Park,Centurion,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2009-05-12,Kings XI Punjab,Mumbai Indians,SuperSport Park,Centurion,Kings XI Punjab,bat,Mumbai Indians
2009-05-13,Deccan Chargers,Delhi Daredevils,Kingsmead,Durban,Deccan Chargers,field,Delhi Daredevils
2009-05-14,Chennai Super Kings,Royal Challengers Bangalore,Kingsmead,Durban,Chennai Super Kings,bat,Royal Challengers Bangalore
2009-05-14,Mumbai Indians,Rajasthan Royals,Kingsmead,Durban,Rajasthan Royals,bat,Rajasthan Royals
2009-05-15,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,Bloemfontein,Kings XI Punjab,field,Kings XI Punjab
2009-05-16,Chennai Super Kings,Mumbai Indians,St George's Park,Port Elizabeth,Mumbai Indians,bat,Chennai Super Kings
2009-05-16,Deccan Chargers,Kolkata Knight Riders,New Wanderers Stadium,Johannesburg,Deccan Chargers,field,Deccan Chargers
2009-05-17,Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,Johannesburg,Deccan Chargers,field,Kings XI Punjab
2009-05-17,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Bloemfontein,Delhi Daredevils,bat,Delhi Daredevils
2009-05-18,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Centurion,Chennai Super Kings,bat,Kolkata Knight Riders
2009-05-19,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,Delhi Daredevils,bat,Royal Challengers Bangalore
2009-05-20,Kolkata Knight Riders,Rajasthan Royals,Kingsmead,Durban,Kolkata Knight Riders,field,Kolkata Knight Riders
2009-05-20,Chennai Super Kings,Kings XI Punjab,Kingsmead,Durban,Chennai Super Kings,bat,Chennai Super Kings
2009-05-21,Delhi Daredevils,Mumbai Indians,SuperSport Park,Centurion,Delhi Daredevils,field,Delhi Daredevils
2009-05-21,Deccan Chargers,Royal Challengers Bangalore,SuperSport Park,Centurion,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
2009-05-22,Deccan Chargers,Delhi Daredevils,SuperSport Park,Centurion,Deccan Chargers,field,Deccan Chargers
2009-05-23,Chennai Super Kings,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2009-05-24,Deccan Chargers,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,Royal Challengers Bangalore,field,Deccan Chargers
2010-03-12,Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Kolkata Knight Riders
2010-03-13,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2010-03-13,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Delhi Daredevils,field,Delhi Daredevils
2010-03-14,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2010-03-14,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Chennai,Deccan Chargers,bat,Deccan Chargers
2010-03-15,Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,Delhi Daredevils,field,Delhi Daredevils
2010-03-16,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore
2010-03-16,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Kolkata,Chennai Super Kings,bat,Chennai Super Kings
2010-03-17,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Daredevils,field,Mumbai Indians
2010-03-18,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2010-03-19,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Chennai Super Kings
2010-03-19,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Cuttack,Kings XI Punjab,field,Deccan Chargers
2010-03-20,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bangalore
2010-03-20,Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,bat,Rajasthan Royals
2010-03-21,Deccan Chargers,Delhi Daredevils,Barabati Stadium,Cuttack,Deccan Chargers,bat,Deccan Chargers
2010-03-22,Kolkata Knight Riders,Mumbai Indians,Brabourne Stadium,Mumbai,Kolkata Knight Riders,bat,Mumbai Indians
2010-03-23,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,field,Royal Challengers Bangalore
2010-03-24,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Rajasthan Royals
2010-03-25,Chennai Super Kings,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai,Mumbai Indians,field,Mumbai Indians
2010-03-25,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils
2010-03-26,Deccan Chargers,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,Deccan Chargers,bat,Rajasthan Royals
2010-03-27,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kolkata Knight Riders,bat,Kolkata Knight Riders
2010-03-28,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Ahmedabad,Rajasthan Royals,bat,Rajasthan Royals
2010-03-28,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Mumbai Indians
2010-03-29,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Delhi Daredevils
2010-03-30,Kings XI Punjab,Mumbai Indians,Brabourne Stadium,Mumbai,Mumbai Indians,field,Mumbai Indians
2010-03-31,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Royal Challengers Bangalore,bat,Chennai Super Kings
2010-03-31,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Delhi Daredevils
2010-04-01,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2010-04-02,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,bat,Royal Challengers Bangalore
2010-04-03,Deccan Chargers,Mumbai Indians,Brabourne Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2010-04-03,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2010-04-04,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Delhi Daredevils
2010-04-04,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kings XI Punjab
2010-04-05,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Rajasthan Royals,bat,Rajasthan Royals
2010-04-06,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2010-04-07,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2010-04-07,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Kings XI Punjab,bat,Rajasthan Royals
2010-04-08,Deccan Chargers,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Deccan Chargers,field,Deccan Chargers
2010-04-09,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Mumbai Indians,bat,Kings XI Punjab
2010-04-10,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Chennai Super Kings,bat,Deccan Chargers
2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2010-04-11,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Kings XI Punjab
2010-04-11,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Mumbai Indians
2010-04-12,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,Royal Challengers Bangalore,field,Deccan Chargers
2010-04-13,Delhi Daredevils,Mumbai Indians,Brabourne Stadium,Mumbai,Mumbai Indians,bat,Mumbai Indians
2010-04-13,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Kolkata Knight Riders,bat,Chennai Super Kings
2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Royal Challengers Bangalore
2010-04-15,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Delhi Daredevils
2010-04-16,Deccan Chargers,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Deccan Chargers,field,Deccan Chargers
2010-04-17,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,field,Mumbai Indians
2010-04-17,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Rajasthan Royals,bat,Kolkata Knight Riders
2010-04-18,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Dharamsala,Chennai Super Kings,field,Chennai Super Kings
2010-04-18,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi,Deccan Chargers,bat,Deccan Chargers
2010-04-19,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Mumbai Indians,bat,Kolkata Knight Riders
2010-04-21,Mumbai Indians,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,bat,Mumbai Indians
2010-04-22,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai,Chennai Super Kings,bat,Chennai Super Kings
2010-04-24,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,bat,Royal Challengers Bangalore
2010-04-25,Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,Chennai Super Kings,bat,Chennai Super Kings
2011-04-08,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2011-04-09,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Rajasthan Royals,field,Rajasthan Royals
2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Kochi,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore
2011-04-10,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi,Delhi Daredevils,bat,Mumbai Indians
2011-04-10,Kings XI Punjab,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Kings XI Punjab,bat,Pune Warriors
2011-04-11,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Kolkata Knight Riders
2011-04-12,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Delhi Daredevils,bat,Rajasthan Royals
2011-04-12,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Bangalore,Mumbai Indians,field,Mumbai Indians
2011-04-13,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Kings XI Punjab,field,Kings XI Punjab
2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Kochi Tuskers Kerala,bat,Pune Warriors
2011-04-14,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Royal Challengers Bangalore,field,Deccan Chargers
2011-04-15,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Kolkata Knight Riders,field,Kolkata Knight Riders
2011-04-15,Kochi Tuskers Kerala,Mumbai Indians,Wankhede Stadium,Mumbai,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
2011-04-16,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,Kings XI Punjab,field,Kings XI Punjab
2011-04-16,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Chennai,Chennai Super Kings,bat,Chennai Super Kings
2011-04-17,Delhi Daredevils,Pune Warriors,Dr DY Patil Sports Academy,Mumbai,Delhi Daredevils,field,Delhi Daredevils
2011-04-17,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kolkata Knight Riders
2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,Nehru Stadium,Kochi,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala
2011-04-19,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi,Deccan Chargers,bat,Deccan Chargers
2011-04-20,Mumbai Indians,Pune Warriors,Wankhede Stadium,Mumbai,Pune Warriors,bat,Mumbai Indians
2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Eden Gardens,Kolkata,Kolkata Knight Riders,field,Kochi Tuskers Kerala
2011-04-21,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Chandigarh,Rajasthan Royals,field,Kings XI Punjab
2011-04-22,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Mumbai,Chennai Super Kings,field,Mumbai Indians
2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata,Royal Challengers Bangalore,field,Royal Challengers Bangalore
2011-04-23,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi,Kings XI Punjab,field,Delhi Daredevils
2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,field,Rajasthan Royals
